Project Number,Project Title,Project Status,Financial Year,Contractor Name,Estimated Cost,Department,Implemented By,Partner,Expected Start Date,Expected End Date,Approval/Contract Number,Contract Period (Days),Technical Rating,Completion Level,Amount Paid,Total Percentage,Project Scope,Administrative Level,Project Location,Location Names,Latitude,Longitude,Funded By,Percentage of Funding,Partner,,Admin Level,Admin
006/130/01/24-25,Gaza Ecde Class +Kitchen,Complete,2024-2025,MOMBASA ROAD GENERAL SUPPLIES," 1,128,232.20 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 1,128,232.20 ",100,Constraction Of Class & Kitchen,Admin 3,,Kaloleni,-3.3987,38.5572,County Government,100,,,Admin 3,Kaloleni
006/130/010/24-25,Gimba Dispensary Toilet,Complete,2024-2025,Mombasa Road," 1,487,526 ",Health Services,County Government,,,,,0,,0," 1,487,526 ",100,Construction Of Gimba Dispensary And A Toilet,Admin 3,,Kaloleni,-3.455,38.543,County Government,100,,,Admin 3,Kaloleni
006/130/011/24-25,Gimba-Mleghwa P11 Road Maintanance/Slubbing ,Complete,2024-2025,none,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading And Patch Slabbing,Admin 3,,Kaloleni,-3.4523,38.5372,County Government,100,,,Admin 3,Kaloleni
006/130/02/24-25,Gaza Ecde Fence & Playing Outdoor Equipment,Complete,2024-2025,Frador Delta General,1855072,"Education, Libraries and VTCs",County Government,,,,,0,,0,1855072,100,Erection Of Fence And Assembing Of Playing Out Door Equipement,Admin 3,,Kaloleni,-3.3987,38.5573,County Government,100,,,Admin 3,Kaloleni
006/130/03/24-25,Kaloleni Feeder Road,Complete,2024-2025,MVOI VENTURES LTD," 1,153,412.10 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Light Grading Of The Feeder Road And Patch Murraming,Admin 3,,Kaloleni,-3.3981,38.5616,County Government,100,,,Admin 3,Kaloleni
006/130/04/24-25,Birikani Feeder Road/Murraming,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading And Murraming Of The Feeder Road,Admin 3,,Kaloleni,-3.3962,38.5949,County Government,100,,,Admin 3,Kaloleni
006/130/05/24-25,Equipping Of Ecdes With Furniture For Teachers And Students,Complete,2024-2025,Mombasa Road General Supplies," 1,992,750 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 1,992,750 ",100,Constraction Of Class & Kitchen,Admin 3,,Kaloleni,-3.3987,38.5572,County Government,100,,,Admin 3,Kaloleni
006/130/06/24-25,Gaza Ecde Fence & Playing Outdoor Equipment,Complete,2024-2025,Frador Delta General,1855072,"Education, Libraries and VTCs",County Government,,,,,0,,0,1855072,100,Erection Of Fence And Assembing Of Playing Out Door Equipement,Admin 3,,Kaloleni,-3.3987,38.5573,County Government,100,,,Admin 3,Kaloleni
006/130/07/24-25,Kaloleni Feeder Road,Complete,2024-2025,JEDY GENERAL CONTRACTORS,"1,977,800.00","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Light Grading Of The Feeder Road And Patch Murraming,Admin 3,,Kaloleni,-3.3981,38.5616,County Government,100,,,Admin 3,Kaloleni
006/130/08/24-25,Birikani Feeder Road/Murraming,Complete,2024-2025,none,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading And Murraming Of The Feeder Road,Admin 3,,Kaloleni,-3.3962,38.5949,County Government,100,,,Admin 3,Kaloleni
