Project Number,Project Title,Financial Year,Contractor Name,Estimated Cost,Department,Approval/Contract Number,Amount Paid,Project Scope
006/130/01/24-25,Gaza Ecde Class +Kitchen,2024-2025,MOMBASA ROAD GENERAL SUPPLIES," 1,128,232.20 ","Education, Libraries and VTCs",," 1,128,232.20 ",Constraction Of Class & Kitchen
006/130/010/24-25,Gimba Dispensary Toilet,2024-2025,Mombasa Road," 1,487,526 ",Health Services,," 1,487,526 ",Construction Of Gimba Dispensary And A Toilet
006/130/011/24-25,Gimba-Mleghwa P11 Road Maintanance/Slubbing ,2024-2025,none,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading And Patch Slabbing
006/130/02/24-25,Gaza Ecde Fence & Playing Outdoor Equipment,2024-2025,Frador Delta General,1855072,"Education, Libraries and VTCs",326,1855072,Erection Of Fence And Assembing Of Playing Out Door Equipement
006/130/03/24-25,Kaloleni Feeder Road,2024-2025,MVOI VENTURES LTD," 1,153,412.10 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Light Grading Of The Feeder Road And Patch Murraming
006/130/04/24-25,Birikani Feeder Road/Murraming,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading And Murraming Of The Feeder Road
006/130/05/24-25,Equipping Of Ecdes With Furniture For Teachers And Students,2024-2025,Mombasa Road General Supplies," 1,992,750 ","Education, Libraries and VTCs",," 1,992,750 ",Constraction Of Class & Kitchen
006/130/06/24-25,Gaza Ecde Fence & Playing Outdoor Equipment,2024-2025,Frador Delta General,1855072,"Education, Libraries and VTCs",326,1855072,Erection Of Fence And Assembing Of Playing Out Door Equipement
006/130/07/24-25,Kaloleni Feeder Road,2024-2025,JEDY GENERAL CONTRACTORS,"1,977,800.00","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Light Grading Of The Feeder Road And Patch Murraming
006/130/08/24-25,Birikani Feeder Road/Murraming,2024-2025,none,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading And Murraming Of The Feeder Road
006/130/09/24-25,Birikani Ecde Class,2024-2025,none,0,"Education, Libraries and VTCs",,0,Construction Of Modern Class
006/130/10/24-25,Completion Of Gaza Ecde And Fencing,2024-2025,Frador Delta General,1855072,"Education, Libraries and VTCs",,1855072,Installation Of A Fence And Playing Outdoor Equipment
006/130/100/22-23,Manga Ecde,2022-2023,Colha Investments,1999956,"Education, Libraries and VTCs",,1999956,Manga Ecde
006/130/101/22-23,Completion Of Ngolia Social Hall,2022-2023,Nyollo Ventures Limited,1377778,"Youth, Sports, Gender and Social Services",,1377778,Completion Of Ngolia Social Hall-Mlangonyi
006/130/102/22-23,"Supply And Delivery Of 10,000Lts Plastic Tanks",2022-2023,Joe Timber And Hardware Investment Limited,1350000,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1350000,"Supply And Delivery Of 10,000Lts Plastic Tanks"
006/130/103/22-23,Mrangi Ecde,2022-2023,n/a,0,"Education, Libraries and VTCs",,0,Mrangi Ecde
006/130/104/22-23,Completion Of Ndii Ecde With A Toilet,2022-2023,TATECOH CONSTRUCTION COMPANY LTD," 1,078,545.50 ","Education, Libraries and VTCs",," 1,078,545.50 ",Completion Of Ndii Ecde With A Toilet
006/130/105/22-23,Completion Of Ore Ecde With Toilet And A Fence,2022-2023,n/a,0,"Education, Libraries and VTCs",,0,Completion Of Ore Ecde With Toilet And A Fence
006/130/106/22-23,Kirongo Water Pan,2022-2023,Qataar General  Constructions Limited,1853478,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1853478,Kirongo Water Pan
006/130/107/22-23,Lora Water Pan,2022-2023,Qatar General  Constructions Limited,1853478,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1853478,Lora Water Pan
006/130/108/22-23,Sasenyi Water Project,2022-2023,ALTOVEX INVESTMENTS," 499,019.00 ","Water, Sanitation, Environment, Climate Change and Natural Resources",,499019,Sasenyi Water Project
